seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755016037,3,302,251,0.8311258278145696,safe,0.0,7.521401857957244e-05,0.0008382059750147,0.0
1755019032,3,160,140,0.875,safe,0.0,3.438000567257404e-05,0.0001159359817393,0.0
1755019033,3,240,220,0.9166666666666666,safe,0.0,3.0154013074934483e-05,0.0001237909891642,0.0
1755019034,3,700,650,0.9285714285714286,safe,0.0,3.702304093167186e-05,7.876299787312746e-05,0.0
1755019035,3,450,425,0.9444444444444444,safe,0.0,3.359297988936305e-05,0.0004229749902151,0.0
1755019036,3,2300,2200,0.9565217391304348,safe,0.0,3.767700400203466e-05,0.0001454920275136,0.0
1755022036,3,2400,2200,0.9166666666666666,safe,0.0,3.2279989682137966e-05,0.0001144210109487,0.0
1755022035,3,450,425,0.9444444444444444,safe,0.0,3.094197018072009e-05,0.0003131569828838,0.0
1755022034,3,2440,2220,0.9098360655737704,safe,0.0,4.2086991015821695e-05,0.0003529249806888,0.0
1755022033,3,424,412,0.9716981132075472,safe,0.0,2.9497023206204176e-05,0.000847588002216,0.0
1755022032,3,620,510,0.8225806451612904,safe,0.0,3.2078009098768234e-05,0.0001564039848744,0.0
1755022031,3,16,14,0.875,safe,0.0,3.642798401415348e-05,9.040703298524022e-05,0.0
1755022030,3,800,800,1.0,safe,0.0,3.3755030017346144e-05,4.228000761941075e-05,0.0
1755022029,3,2120,2060,0.9716981132075472,safe,0.0,3.230199217796326e-05,0.0009365939768031,0.0
1755022028,3,4000,3001,0.75025,safe,0.0,3.1419971492141485e-05,0.005789469985757,0.0
1755022027,3,4000,4000,1.0,safe,0.0,3.032799577340484e-05,4.345399793237448e-05,0.0
1755022026,3,304,252,0.8289473684210527,safe,0.0,2.8094975277781487e-05,0.0002764459932222,0.0
1755022025,3,504,452,0.8968253968253969,safe,0.0,3.296701470389962e-05,0.0046170679852366,0.0
1755022024,3,104,102,0.9807692307692308,safe,0.0,2.9332994017750025e-05,0.0006399399717338,0.0
1755022023,3,2042,2021,0.9897159647404504,safe,0.0,2.800801303237677e-05,0.0145034969900734,0.0
1755019031,3,103,102,0.9902912621359224,safe,0.0,3.1701987609267235e-05,0.0008114020456559,0.0
1755022022,3,52,46,0.8846153846153846,safe,0.0,2.422597026452422e-05,0.0001259789569303,0.0
1755019030,3,44,42,0.9545454545454546,safe,0.0,3.53319919668138e-05,0.0002489670296199,0.0
1755019028,3,114,108,0.9473684210526316,safe,0.0,3.69000481441617e-05,0.0002633379772305,0.0
1755019009,3,3004,3002,0.9993342210386152,safe,0.0,3.833405207842589e-05,0.0045785499969497,0.0
1755019010,3,2080,2040,0.9807692307692308,safe,0.0,3.902701428160072e-05,0.0010919040068984,0.0
1755019011,3,224,212,0.9464285714285714,safe,0.0,3.6493001971393824e-05,0.0004590260214172,0.0
1755019012,3,2240,2120,0.9464285714285714,safe,0.0,3.802200080826879e-05,0.0005967319593764,0.0
1755019013,3,510,455,0.8921568627450981,safe,0.0,2.8659997042268515e-05,0.0003763549611903,0.0
1755019014,3,2044,2022,0.9892367906066536,safe,0.0,4.611501935869455e-05,0.0097644120105542,0.0
1755019015,3,250,225,0.9,safe,0.0,2.9596034437417984e-05,0.0001877599861472,0.0
1755019016,3,2050,2025,0.9878048780487804,safe,0.0,3.971601836383343e-05,0.0039790800074115,0.0
1755019017,3,400,310,0.775,safe,0.0,3.40790138579905e-05,0.0001137480139732,0.0
1755019018,3,602,501,0.8322259136212624,safe,0.0,3.720796667039394e-05,0.0016028599929995,0.0
1755019019,3,200,160,0.8,safe,0.0,3.175396705046296e-05,6.623903755098581e-05,0.0
1755019020,3,80,61,0.7625,safe,0.0,3.306602593511343e-05,0.00019076699391,0.0
1755019021,3,320,260,0.8125,safe,0.0,3.290700260549784e-05,0.0001193099888041,0.0
1755019022,3,400,350,0.875,safe,0.0,3.749795723706484e-05,5.291204433888197e-05,0.0
1755019023,3,2500,2250,0.9,safe,0.0,3.5160977859050035e-05,0.0002239879686385,0.0
1755019024,3,414,408,0.9855072463768116,safe,0.0,3.220303915441036e-05,0.005575974995736,0.0
1755019025,3,2220,2110,0.9504504504504504,safe,0.0,3.146298695355654e-05,0.0010609370074234,0.0
1755019026,3,2410,2205,0.9149377593360996,safe,0.0,3.168999683111906e-05,0.00584701099433,0.0
1755019027,3,2022,2011,0.9945598417408508,safe,0.0,3.2890995498746634e-05,0.0586077700136229,0.0
1755019029,3,206,203,0.9854368932038836,safe,0.0,3.4522032365202904e-05,0.0056244549923576,0.0
1755022021,3,122,111,0.9098360655737704,safe,0.0,2.6548979803919792e-05,0.0002922060084529,0.0
1755022020,3,700,600,0.8571428571428571,safe,0.0,2.702500205487013e-05,3.9740989450365305e-05,0.0
1755022019,3,310,255,0.8225806451612904,safe,0.0,3.2810028642416e-05,0.0001476620091125,0.0
1755021994,3,2210,2105,0.9524886877828054,safe,0.0,3.107596421614289e-05,0.001482127001509,0.0
1755021993,3,150,135,0.9,safe,0.0,2.4770968593657017e-05,0.0001344350166618,0.0
1755021992,3,304,252,0.8289473684210527,safe,0.0,3.339198883622885e-05,0.0002726210514083,0.0
1755021991,3,2060,2030,0.9854368932038836,safe,0.0,3.081402974203229e-05,0.0014954549842514,0.0
1755021990,3,2300,2150,0.9347826086956522,safe,0.0,2.850900636985898e-05,0.0001878679613582,0.0
1755021989,3,4000,3002,0.7505,safe,0.0,3.418303094804287e-05,0.0028978260233998,0.0
1755021988,3,2110,2055,0.9739336492890996,safe,0.0,3.836100222542882e-05,0.0017788469558581,0.0
1755021987,3,142,131,0.9225352112676056,safe,0.0,3.229500725865364e-05,0.000610451970715,0.0
1755021986,3,2104,2052,0.9752851711026616,safe,0.0,4.874001024290919e-05,0.0116021969588473,0.0
1755021985,3,412,406,0.9854368932038836,safe,0.0,3.0755007173866034e-05,0.0062468100222758,0.0
1755021984,3,2120,2060,0.9716981132075472,safe,0.0,3.50670306943357e-05,0.0039435839862562,0.0
1755021983,3,52,46,0.8846153846153846,safe,0.0,3.820395795628429e-05,0.0001941540394909,0.0
1755021982,3,310,255,0.8225806451612904,safe,0.0,2.9612041544169188e-05,0.0001849149703048,0.0
1755021981,3,114,108,0.9473684210526316,safe,0.0,3.700598608702421e-05,0.0003065610071644,0.0
1755021980,3,320,260,0.8125,safe,0.0,2.9485032428056e-05,0.0001111889723688,0.0
1755021979,3,2024,2012,0.9940711462450592,safe,0.0,4.781002644449472e-05,0.0204703350318595,0.0
1755021978,3,540,480,0.8888888888888888,safe,0.0,3.731803735718131e-05,0.0001374310231767,0.0
1755021977,3,32,31,0.96875,safe,0.0,2.944999141618609e-05,0.0001039030030369,0.0
1755021976,3,122,111,0.9098360655737704,safe,0.0,3.649696009233594e-05,0.0004315850092098,0.0
1755021995,3,800,600,0.75,safe,0.0,2.494797809049487e-05,3.870500950142741e-05,0.0
1755021996,3,180,150,0.8333333333333334,safe,0.0,2.9375951271504164e-05,6.708002183586359e-05,0.0
1755021997,3,2300,2200,0.9565217391304348,safe,0.0,2.9932998586446047e-05,0.0001032550353556,0.0
1755021998,3,400,400,1.0,safe,0.0,2.8571987058967352e-05,3.8811995182186365e-05,0.0
1755022018,3,2102,2051,0.9757373929590866,safe,0.0,3.4150027204304934e-05,0.008752261986956,0.0
1755022017,3,230,215,0.9347826086956522,safe,0.0,2.659799065440893e-05,0.0001511999871581,0.0
1755022016,3,40,35,0.875,safe,0.0,3.01609979942441e-05,4.685099702328444e-05,0.0
1755022015,3,406,403,0.9926108374384236,safe,0.0,3.242999082431197e-05,0.0040922740008682,0.0
1755022014,3,2006,2003,0.9985044865403788,safe,0.0,3.571802517399192e-05,0.1315068459953181,0.0
1755022013,3,230,220,0.9565217391304348,safe,0.0,2.7847010642290115e-05,9.120797039940952e-05,0.0
1755022012,3,2044,2022,0.9892367906066536,safe,0.0,2.98389932140708e-05,0.0151505370158702,0.0
1755022011,3,62,51,0.8225806451612904,safe,0.0,3.227597335353494e-05,0.0001371199614368,0.0
1755022010,3,260,230,0.8846153846153846,safe,0.0,3.4117023460567e-05,9.688298450782896e-05,0.0
1755019008,3,52,46,0.8846153846153846,safe,0.0,3.598898183554411e-05,0.0003700670204125,0.0
1755022009,3,302,301,0.9966887417218544,safe,0.0,2.553901867941022e-05,0.0005260430043563,0.0
1755022007,3,2210,2105,0.9524886877828054,safe,0.0,3.466499038040638e-05,0.0014700110186822,0.0
1755022006,3,2240,2120,0.9464285714285714,safe,0.0,3.4487980883568525e-05,0.0004022460198029,0.0
1755022005,3,2014,2008,0.997020854021847,safe,0.0,3.302702680230141e-05,0.021145203965716,0.0
1755022004,3,26,23,0.8846153846153846,safe,0.0,2.8013018891215324e-05,9.019800927489996e-05,0.0
1755022003,3,406,404,0.9950738916256158,safe,0.0,2.701801713556052e-05,0.0020614489912986,0.0
1755022002,3,460,430,0.9347826086956522,safe,0.0,3.0866998713463545e-05,0.0001722890301607,0.0
