seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage
1755016010,5,0.0,480.0,459.7778110588101,0.9578704397058544,safe,0.06
1755016011,5,0.0,423.52454815193215,412.3995998862272,0.973732459395213,safe,0.06
1755016012,5,0.0,3497.271087905493,3495.707171746581,0.999552818148893,safe,0.06
1755016013,5,0.0,624.0,404.3497012816388,0.6479963161564725,safe,0.06
1755016014,5,0.0,838.7301958032665,763.4125955499491,0.9102004427285648,safe,0.06
1755016015,5,0.0,451.3936007612768,235.22305029465923,0.5211040872045035,safe,0.06
1755016016,5,0.0,2422.0,1640.9905213640238,0.6775353102246175,safe,0.06
1755016017,5,0.0,2403.464921830867,1467.2779858394274,0.6104844603771923,safe,0.06
1755016018,5,0.0,0.0,597.1886558462502,,,0.06
1755016019,5,0.0,664.0,566.2356733329633,0.8527645682725351,safe,0.06
1755016020,5,0.0,434.0,427.76586484445454,0.9856356332821532,safe,0.06
1755016021,5,0.0,76.0,70.09101725697548,0.9222502270654668,safe,0.06
1755016022,5,0.0,384.23337963983664,270.48739121539234,0.7039664057009707,safe,0.06
1755016023,5,0.0,2810.0,2701.531773177452,0.9613992075364598,safe,0.06
1755016024,5,0.0,2524.0,2330.604043250672,0.9233771962165896,safe,0.06
1755016025,5,0.0,569.0566972614246,504.4275442148815,0.8864275680128716,safe,0.06
1755016026,5,0.0,0.0,38.24553423538843,,,0.06
1755016027,5,0.0,396.70898146662927,300.135986275242,0.7565646362873917,safe,0.06
1755016028,5,0.0,2074.0,1897.1684928989343,0.9147389068943752,safe,0.06
1755016029,5,0.0,2440.0,2357.834640608041,0.9663256723803446,safe,0.06
1755016030,5,0.0,156.0,123.7314690548578,0.7931504426593449,safe,0.06
1755016031,5,0.0,2170.0,1766.487288900105,0.8140494418894495,safe,0.06
1755016032,5,0.0,136.0,128.7532624226552,0.9467151648724648,safe,0.06
1755016033,5,0.0,2072.0,1840.001934864817,0.8880318218459542,safe,0.06
1755016034,5,0.0,712.0,495.236468500882,0.6955568377821376,safe,0.06
1755016035,5,0.0,532.6060735141208,510.45265633667947,0.9584056241956204,safe,0.06
1755016036,5,0.0,3492.64668269704,2797.547329499643,0.8009820584942083,safe,0.06
1755016037,5,0.0,2464.0,2366.961579788605,0.960617524264856,safe,0.06
1755016038,5,0.0,2162.0,1303.162211278121,0.6027577295458469,safe,0.06
1755016039,5,0.0,124.0,114.79015231546066,0.925727034802102,safe,0.06
1755016040,5,0.0,2499.161347228649,1968.7620005647195,0.7877690661100789,safe,0.06
1755016041,5,0.0,236.0,225.89890379386475,0.9571987448892574,safe,0.06
1755016042,5,0.0,218.0,212.25894561692613,0.9736648881510372,safe,0.06
1755016043,5,0.0,3444.733512262271,3416.5221866370507,0.9918103024443558,safe,0.06
1755016044,5,0.0,3385.2409964279104,3382.590731754237,0.9992171119644156,safe,0.06
1755016045,5,0.0,3409.548185340735,3405.846713644112,0.9989143805878627,safe,0.06
1755016046,5,0.0,546.0,507.1794434934277,0.9289000796582924,safe,0.06
1755016047,5,0.0,234.48846838273164,185.12521391300308,0.7894853644181856,safe,0.06
1755016048,5,0.0,2034.0,2028.356457741972,0.9972253971199468,safe,0.06
1755016049,5,0.0,2514.0,1965.5218683293965,0.7818304965510726,safe,0.06
1755016050,5,0.0,217.23656616748104,130.59792281117473,0.6011783610614096,safe,0.06
1755016051,5,0.0,570.0,518.1589955979405,0.909050869470071,safe,0.06
1755016052,5,0.0,2058.0,1176.202768596372,0.5715270984433294,safe,0.06
1755016053,5,0.0,126.0,121.43600748843104,0.9637778372097702,safe,0.06
1755016054,5,0.0,203.15307789166167,187.21156007714467,0.9215295284720302,safe,0.06
1755016055,5,0.0,244.0,155.0361269514356,0.6353939629157196,safe,0.06
1755016056,5,0.0,416.27249574522887,381.02881954737126,0.915335083249344,safe,0.06
1755016057,5,0.0,3975.983827783903,3789.350887416744,0.953059934735403,safe,0.06
1755016058,5,0.0,548.0,420.6203915283059,0.7675554589932589,safe,0.06
1755016059,5,0.0,118.0,80.12807477126536,0.6790514811124183,safe,0.06
1755016060,5,0.0,2062.0,2044.6580096610653,0.9915897234049784,safe,0.06
1755016061,5,0.0,0.0,96.70377236126464,,,0.06
1755016062,5,0.0,0.0,751.3923547356922,,,0.06
1755016063,5,0.0,2511.809435508338,2001.5133355844985,0.7968412361582812,safe,0.06
1755016064,5,0.0,822.0,683.37678539635,0.8313586197035888,safe,0.06
1755016065,5,0.0,149.6496930304367,89.86518328804195,0.6005036259564167,safe,0.06
1755016066,5,0.0,908.3146505301846,890.7424174126515,0.9806540243435728,safe,0.06
1755016067,5,0.0,2806.0,1986.249853748399,0.707858108962366,safe,0.06
1755016068,5,0.0,2307.702261910025,1594.0284629239866,0.690742687752384,safe,0.06
1755016069,5,0.0,859.602994577888,637.7410279422704,0.7419018220794311,safe,0.06
1755016070,5,0.0,3699.833643437072,3188.8197283299023,0.8618819210929581,safe,0.06
1755016071,5,0.0,967.67335726223,848.8890515530672,0.8772475186820986,safe,0.06
1755016072,5,0.0,611.6050209255021,541.7669476721001,0.8858118052273007,safe,0.06
1755016073,5,0.0,2234.0,1344.488300180348,0.6018300358909346,safe,0.06
1755016074,5,0.0,2051.82188943244,1620.6144414596004,0.7898416767100008,safe,0.06
1755016075,5,0.0,247.90002619219825,234.8064159363356,0.9471818924064532,safe,0.06
1755016076,5,0.0,3723.280383340359,3551.9060970654696,0.9539722318411216,safe,0.06
1755016077,5,0.0,225.4181517330464,225.4181517330464,1.0,safe,0.06
1755016078,5,0.0,84.0,75.42338914875494,0.8978974898661302,safe,0.06
1755016079,5,0.0,234.0,217.75809024295108,0.9305901292433808,safe,0.06
1755016080,5,0.0,810.0,665.5571229760803,0.8216754604642967,safe,0.06
1755016081,5,0.0,0.0,71.82802665031997,,,0.06
1755016082,5,0.0,614.0,529.6610940604057,0.8626402183394231,safe,0.06
1755016083,5,0.0,2264.0,1534.3863929858016,0.6777325057357781,safe,0.06
1755016084,5,0.0,2216.0,1855.0165455446856,0.837101329216916,safe,0.06
1755016085,5,0.0,0.0,568.9191826564197,,,0.06
1755016086,5,0.0,2252.0,2227.202136837882,0.9889885154697522,safe,0.06
1755016087,5,0.0,3955.632029545584,3794.286834983082,0.9592112731019024,safe,0.06
1755016088,5,0.0,2344.0,1931.3863566370408,0.8239702886676797,safe,0.06
1755016089,5,0.0,2214.0,1201.4627214487682,0.5426660891819188,safe,0.06
1755016090,5,0.0,4177.380654246884,4090.133363798933,0.9791143547430248,safe,0.06
1755016091,5,0.0,608.0,598.7083373831811,0.9847176601697056,safe,0.06
1755016092,5,0.0,2380.0,1630.6964861756635,0.6851665908301107,safe,0.06
1755016093,5,0.0,456.0,373.2315357552931,0.8184902099896779,safe,0.06
1755016094,5,0.0,2170.0,2029.972129566799,0.9354710274501375,safe,0.06
1755016095,5,0.0,750.0,653.111359453186,0.8708151459375812,safe,0.06
1755016096,5,0.0,4586.215360366348,4162.679869333278,0.9076503265212476,safe,0.06
1755016097,5,0.0,760.084518041733,760.084518041733,1.0,safe,0.06
1755016098,5,0.0,272.0,243.68492751260123,0.8959004687963281,safe,0.06
1755016099,5,0.0,2072.0,1862.2083263188224,0.898749192238814,safe,0.06
1755016100,5,0.0,944.464990027598,882.6688049745119,0.9345701686080704,safe,0.06
1755016101,5,0.0,2452.0,1963.2251586958905,0.8006627890276877,safe,0.06
1755016102,5,0.0,2622.0,2482.5649053662746,0.9468210928170384,safe,0.06
1755016103,5,0.0,156.0,146.59612205316284,0.9397187311100182,safe,0.06
1755016104,5,0.0,2448.0,2217.061145334176,0.90566223257115,safe,0.06
1755016105,5,0.0,714.0,577.7285383937337,0.8091436111957055,safe,0.06
1755016106,5,0.0,438.0,365.86740943151386,0.8353137201632737,safe,0.06
1755016107,5,0.0,910.0,649.1730620039755,0.7133769912131599,safe,0.06
1755016108,5,0.0,799.9612986959818,791.5073541208899,0.9894320580397168,safe,0.06
1755016109,5,0.0,760.0,650.3689406470899,0.8557486061145919,safe,0.06
1755016010,5,0.02,484.8,459.9158318015245,0.948671270217666,safe,0.09
1755016011,5,0.02,425.82454815193216,412.5841644124048,0.968906480856986,safe,0.09
1755016012,5,0.02,3517.3710879054934,3515.655273588083,0.9995121884286506,safe,0.09
1755016013,5,0.02,630.24,595.3794615271695,0.9446868836112744,safe,0.09
1755016014,5,0.02,845.8301958032664,767.2642094493858,0.9071137602515263,safe,0.09
1755016015,5,0.02,455.87360076127686,449.38672635405976,0.9857704539232268,safe,0.09
1755016016,5,0.02,2446.22,2342.968131185596,0.9577912580166934,safe,0.09
1755016017,5,0.02,2427.4849218308664,2371.871583661126,0.977090140635026,safe,0.09
1755016018,5,0.02,0.0,599.0248901767773,,,0.09
1755016019,5,0.02,670.6400000000001,618.0889429192541,0.9216404373721432,safe,0.09
1755016020,5,0.02,438.34,427.7760755783238,0.9759001587314045,safe,0.09
1755016021,5,0.02,76.75999999999999,70.18966988608554,0.9144042455196136,safe,0.09
1755016022,5,0.02,387.3733796398366,352.53114210742,0.9100551577271224,safe,0.09
1755016023,5,0.02,2838.1,2703.109302513418,0.9524362434422388,safe,0.09
1755016024,5,0.02,2549.24,2410.604284821645,0.9456168445582388,safe,0.09
1755016025,5,0.02,574.0966972614247,558.246402710849,0.9723908975157228,safe,0.09
1755016026,5,0.02,0.0,38.263394427266576,,,0.09
1755016027,5,0.02,398.7889814666293,396.1302151814021,0.9933328993307462,safe,0.09
