seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,finalpercent
1755016041,8,0.3,0.0,3023.2241922845933,,,0.6,0.68
1755016042,8,0.3,2794.5,2568.5740862937187,0.919153367791633,safe,0.6,0.68
1755016043,8,0.3,0.0,338.5713097350381,,,0.6,0.68
1755016044,8,0.3,2817.500000000001,2487.8728323860514,0.8830072164635495,safe,0.6,0.68
1755016045,8,0.3,0.0,3545.7973878957564,,,0.6,0.68
1755016046,8,0.3,0.0,6199.423704854678,,,0.6,0.68
1755016037,8,0.4,0.0,536.9165892773408,,,0.8,0.81
1755016038,8,0.4,0.0,3054.2102440431227,,,0.8,0.81
1755016039,8,0.4,0.0,4732.822147773521,,,0.8,0.81
1755016040,8,0.4,2968.8,2803.2831816846738,0.9442479054448508,safe,0.8,0.81
1755016041,8,0.4,0.0,3122.527176947057,,,0.8,0.81
1755016042,8,0.4,0.0,2641.2946449617866,,,0.8,0.81
1755016043,8,0.4,0.0,349.26771434098555,,,0.8,0.81
1755016044,8,0.4,2939.9999999999995,2487.7009491881777,0.8461567854381558,safe,0.8,0.81
1755016045,8,0.4,0.0,3729.884727948869,,,0.8,0.81
1755016046,8,0.4,0.0,6295.294308487239,,,0.8,0.81
1755016037,8,0.5,0.0,567.2659026868241,,,0.8,0.86
1755016038,8,0.5,0.0,3109.4557717536663,,,0.8,0.86
1755016039,8,0.5,0.0,4924.213459415478,,,0.8,0.86
1755016040,8,0.5,3092.5,2936.673787262065,0.9496115722755264,safe,0.8,0.86
1755016041,8,0.5,0.0,3224.941704983424,,,0.8,0.86
1755016042,8,0.5,0.0,2818.749931857041,,,0.8,0.86
1755016043,8,0.5,0.0,348.14969115561416,,,0.8,0.86
1755016044,8,0.5,3062.5,2748.879148625004,0.8975931913877564,safe,0.8,0.86
1755016045,8,0.5,0.0,3753.8104856194695,,,0.8,0.86
1755016046,8,0.5,0.0,6372.231097577489,,,0.8,0.86
1755016037,10,0.0,596.0,426.0,0.714765100671141,safe,0.1,0.23
1755016038,10,0.0,1054.0,957.0,0.9079696394686908,safe,0.1,0.23
1755016039,10,0.0,3188.0,3122.0,0.979297365119197,safe,0.1,0.23
1755016040,10,0.0,914.0,655.0,0.7166301969365426,safe,0.1,0.23
1755016041,10,0.0,3630.0,2706.0,0.7454545454545455,safe,0.1,0.23
1755016042,10,0.0,4543.0,4349.0,0.9572969403477878,safe,0.1,0.23
1755016043,10,0.0,3173.0,2405.0,0.75795776867318,safe,0.1,0.23
1755016044,10,0.0,4331.0,3467.0,0.8005079658277534,safe,0.1,0.23
1755016045,10,0.0,2446.0,1948.0,0.7964022894521668,safe,0.1,0.23
1755016046,10,0.0,0.0,951.0,,,0.1,0.23
1755016037,10,0.02,601.96,543.1178539427019,0.9022490762554022,safe,0.2,0.28
1755016038,10,0.02,1060.26,959.0194217218086,0.9045134417235476,safe,0.2,0.28
1755016039,10,0.02,3213.4,3122.953837878682,0.97185343806519,safe,0.2,0.28
1755016040,10,0.02,923.14,756.0100495211079,0.818954925061321,safe,0.2,0.28
1755016041,10,0.02,3652.08,3588.064756956664,0.9824715660545944,safe,0.2,0.28
1755016042,10,0.02,4567.48,4368.820185352175,0.9565055972554176,safe,0.2,0.28
1755016043,10,0.02,0.0,2986.8589156573903,,,0.2,0.28
1755016044,10,0.02,4356.68,4189.004758600251,0.9615130692638088,safe,0.2,0.28
1755016045,10,0.02,2470.4600000000005,2405.0049576592937,0.9735049171649384,safe,0.2,0.28
1755016046,10,0.02,0.0,1054.006824985574,,,0.2,0.28
1755016037,10,0.05,610.9,543.3365604287574,0.8894034382529995,safe,0.2,0.38
1755016038,10,0.05,1069.65,969.0631633490776,0.9059628507914528,safe,0.2,0.38
1755016039,10,0.05,3251.5,3123.83424367322,0.9607363505069106,safe,0.2,0.38
1755016040,10,0.05,936.85,856.004662938125,0.9137051426996048,safe,0.2,0.38
1755016041,10,0.05,3685.2,3638.04469178053,0.9872041386574758,safe,0.2,0.38
1755016042,10,0.05,4604.2,4396.586014605724,0.9549076961482394,safe,0.2,0.38
1755016043,10,0.05,0.0,3085.8859037123348,,,0.2,0.38
1755016044,10,0.05,4395.2,4288.341801635546,0.9756875231242144,safe,0.2,0.38
1755016045,10,0.05,2507.1500000000005,2404.3689017430515,0.9590048069493452,safe,0.2,0.38
1755016046,10,0.05,0.0,1056.0321057747208,,,0.2,0.38
1755016037,10,0.1,625.8,562.8060285162377,0.899338492355765,safe,0.4,0.49
1755016038,10,0.1,1085.3,1069.0811890363402,0.9850559191341935,safe,0.4,0.49
1755016039,10,0.1,0.0,3222.6189559503546,,,0.4,0.49
1755016040,10,0.1,0.0,856.9600721396455,,,0.4,0.49
1755016041,10,0.1,3740.4,3640.2741493482495,0.9732312451471098,safe,0.4,0.49
1755016042,10,0.1,4665.4,4446.677882740463,0.9531182498264807,safe,0.4,0.49
1755016043,10,0.1,0.0,3092.921015401581,,,0.4,0.49
1755016044,10,0.1,4459.4,4289.000800107962,0.9617887608440514,safe,0.4,0.49
1755016045,10,0.1,2568.3,2404.8844921091368,0.9363721107772208,safe,0.4,0.49
1755016046,10,0.1,0.0,1061.8577574127412,,,0.4,0.49
1755016037,10,0.2,655.6,580.4614149251179,0.8853895895746154,safe,0.6,0.69
1755016038,10,0.2,0.0,1078.8834892751038,,,0.6,0.69
1755016039,10,0.2,0.0,3367.1129397773184,,,0.6,0.69
1755016040,10,0.2,0.0,857.7991506708104,,,0.6,0.69
1755016041,10,0.2,0.0,3723.896475913266,,,0.6,0.69
1755016042,10,0.2,4787.8,4716.346186587965,0.9850758566748749,safe,0.6,0.69
1755016043,10,0.2,0.0,3228.0016484473344,,,0.6,0.69
1755016044,10,0.2,4587.799999999999,4389.903940497574,0.956864715222454,safe,0.6,0.69
1755016045,10,0.2,2690.5999999999995,2503.3618293934232,0.9304102539929472,safe,0.6,0.69
1755016046,10,0.2,0.0,1069.3374582017714,,,0.6,0.69
1755016037,10,0.3,685.4,596.6692600953147,0.8705416692374012,safe,0.8,0.8
1755016038,10,0.3,0.0,1091.2172890792426,,,0.8,0.8
1755016039,10,0.3,0.0,3446.809376747653,,,0.8,0.8
1755016040,10,0.3,0.0,877.92929168294,,,0.8,0.8
1755016041,10,0.3,0.0,3816.581039992215,,,0.8,0.8
1755016042,10,0.3,0.0,4815.445204611293,,,0.8,0.8
1755016043,10,0.3,0.0,3263.413037929164,,,0.8,0.8
1755016044,10,0.3,0.0,4450.436140734006,,,0.8,0.8
1755016045,10,0.3,2812.9,2603.4150086044788,0.9255270392137932,safe,0.8,0.8
1755016046,10,0.3,0.0,1079.3857969837554,,,0.8,0.8
1755016037,10,0.4,715.2,622.5716403594392,0.8704860743280749,safe,0.8,0.88
1755016038,10,0.4,0.0,1299.7147758462345,,,0.8,0.88
1755016039,10,0.4,0.0,3582.3536701681223,,,0.8,0.88
1755016040,10,0.4,0.0,923.027930235614,,,0.8,0.88
1755016041,10,0.4,0.0,3835.133108317004,,,0.8,0.88
1755016042,10,0.4,0.0,4874.557739425953,,,0.8,0.88
1755016043,10,0.4,0.0,3362.9817786389203,,,0.8,0.88
