seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjusted,inserted
1755016107,3,0,414,284.0,0.6859903381642513,safe,0.0,False,False
1755016108,3,0,510,407.0,0.7980392156862746,safe,0.0,False,False
1755016109,3,0,2779,2632.0,0.947103274559194,safe,0.0,False,False
1755016110,3,0,304,261.0,0.8585526315789473,safe,0.0,False,False
1755016111,3,0,197,188.0,0.9543147208121827,safe,0.0,,False
1755016112,3,0,620,570.0,0.9193548387096774,safe,0.0,False,False
1755016113,3,0,2240,1975.0,0.8816964285714286,safe,0.0,False,False
1755016114,3,0,160,141.0,0.88125,safe,0.0,False,False
1755016115,3,0,304,271.0,0.8914473684210527,safe,0.0,False,False
1755016116,3,0,122,112.0,0.9180327868852459,safe,0.0,False,False
1755016107,3,0.02,418.14,412.9287488189326,0.9875370660997097,safe,0.0,False,False
1755016108,3,0.02,515.0999999999999,462.0582824216435,0.8970263685141596,safe,0.0,False,False
1755016109,3,0.02,2803.0,2651.8062749347446,0.9460600338689777,safe,0.0,False,False
1755016110,3,0.02,307.04,281.66516258793115,0.9173565743483948,safe,0.0,False,False
1755016111,3,0.02,198.2,188.92462752445454,0.953201955219246,safe,0.0,,False
1755016112,3,0.02,626.2,570.1547108231134,0.9104993785102418,safe,0.0,False,False
1755016113,3,0.02,2262.3999999999996,2195.0881330285883,0.9702475835522404,safe,0.0,False,False
1755016114,3,0.02,161.6,151.29580091022785,0.936236391771212,safe,0.0,False,False
1755016115,3,0.02,307.03999999999996,271.96758524484176,0.8857724897239506,safe,0.0,False,False
1755016116,3,0.02,123.22,122.16252500926748,0.9914179922842679,safe,0.0,False,False
1755016107,3,0.05,424.34999999999997,414.8869623091087,0.9776999229624337,safe,0.0,False,False
1755016108,3,0.05,522.75,467.0105840880369,0.8933727098766847,safe,0.0,False,False
1755016109,3,0.05,2839.0,2678.272093681453,0.9433857321879018,safe,0.0,False,False
1755016110,3,0.05,311.6,282.99001859557075,0.9081836283554902,safe,0.0,False,False
1755016111,3,0.05,200.0,190.42223190645427,0.9521111595322713,safe,0.0,,False
1755016112,3,0.05,635.5,580.4592348325896,0.9133898266445154,safe,0.0,False,False
1755016113,3,0.05,2296.0,2234.168251808442,0.9730697960838163,safe,0.0,False,False
1755016114,3,0.05,164.0,151.80006254034606,0.9256101374411345,safe,0.0,False,False
1755016115,3,0.05,311.6,273.4338802021812,0.8775156617528278,safe,0.0,False,False
1755016116,3,0.05,125.05000000000001,122.43256364933973,0.9790688816420609,safe,0.0,False,False
1755016107,3,0.1,434.7,421.99455096722784,0.9707719138882628,safe,0.0,False,False
1755016108,3,0.1,535.5,517.115979997885,0.9656694304348926,safe,0.0,False,False
1755016109,3,0.1,2899.0,2730.1611281461555,0.9417596164698708,safe,0.0,False,False
1755016110,3,0.1,319.2,283.65423992939833,0.888641102535709,safe,0.0,False,False
1755016111,3,0.1,203.0,192.86153165639297,0.9500568061891279,safe,0.0,,False
1755016112,3,0.1,651.0,580.3557318240564,0.8914834590231281,safe,0.0,False,False
1755016113,3,0.1,2352.0,2275.755101046885,0.9675829511253763,safe,0.0,False,False
1755016114,3,0.1,168.0,152.66959113735493,0.9087475662937793,safe,0.0,False,False
1755016115,3,0.1,319.20000000000005,275.18192182118946,0.8620987525726486,safe,0.0,False,False
1755016116,3,0.1,128.10000000000002,122.80426502460432,0.9586593678735699,safe,0.0,False,False
1755016107,3,0.2,455.40000000000003,434.9770417958526,0.9551538028016086,safe,0.0,False,False
1755016108,3,0.2,561.0,543.2374830277895,0.9683377594078244,safe,0.0,False,False
1755016109,3,0.2,2980.7,2818.7306118187553,0.9456606205987705,safe,0.0,False,False
1755016110,3,0.2,334.4,285.73517380239286,0.8544712135239022,safe,0.0,False,False
1755016111,3,0.2,209.0,197.3336081925322,0.9441799435049388,safe,0.0,,False
1755016112,3,0.2,682.0,591.1533187835303,0.866793722556496,safe,0.0,False,False
1755016113,3,0.2,2464.0,2337.611116469021,0.9487058102552844,safe,0.0,False,False
1755016114,3,0.2,176.0,164.06558227802373,0.9321908083978621,safe,0.0,False,False
1755016115,3,0.2,334.4,315.8519966942331,0.9445334829373,safe,0.0,False,False
1755016116,3,0.2,134.2,123.56174907631066,0.9207283835790661,safe,0.0,False,False
1755016107,3,0.3,476.09999999999997,450.247677944089,0.9456998066458496,safe,0.1,False,False
1755016108,3,0.3,586.5,561.1510261287749,0.956779243186317,safe,0.1,False,False
1755016109,3,0.3,3092.0,2911.4968293277634,0.9416225191875043,safe,0.1,False,False
1755016110,3,0.3,349.6,286.77363293803495,0.8202907120653173,safe,0.1,False,False
1755016111,3,0.3,215.0,211.51565264923784,0.983793733252269,safe,0.1,,False
1755016112,3,0.3,0,601.4295859573103,,,0.1,False,False
1755016113,3,0.3,2576.0,2439.906629083909,0.9471687224704616,safe,0.1,False,False
1755016114,3,0.3,184.0,166.69133119176126,0.9059311477813112,safe,0.1,False,False
1755016115,3,0.3,349.6,330.8739446343716,0.946435768404953,safe,0.1,False,False
1755016116,3,0.3,140.3,133.18176940600097,0.9492642152958015,safe,0.1,False,False
1755016107,3,0.4,496.79999999999995,474.05456877676346,0.9542161207261746,safe,0.3,False,False
1755016108,3,0.4,612.0,569.140151135877,0.9299675672154852,safe,0.3,False,False
1755016109,3,0.4,3160.2,3015.9917710031878,0.9543673726356522,safe,0.3,False,False
1755016110,3,0.4,0,327.67976150358095,,,0.3,False,False
1755016111,3,0.4,221.0,212.03111954589576,0.9594168305244152,safe,0.3,,False
1755016112,3,0.4,0,693.4570378399367,,,0.3,False,False
1755016113,3,0.4,2688.0,2569.381546037501,0.9558711108770465,safe,0.3,False,False
1755016114,3,0.4,192.0,166.89092209013143,0.8692235525527678,safe,0.3,False,False
1755016115,3,0.4,0,339.59139743789274,,,0.3,False,False
1755016116,3,0.4,146.39999999999998,135.0827856683627,0.9226966234177781,safe,0.3,False,False
1755016107,3,0.5,517.5,488.34448943698067,0.9436608491535858,safe,0.5,False,False
1755016108,3,0.5,637.5,584.8880391586572,0.9174714339743643,safe,0.5,False,False
1755016109,3,0.5,0,3029.322325610119,,,0.5,False,False
1755016110,3,0.5,0,336.1299967084319,,,0.5,False,False
1755016111,3,0.5,0,210.7939075462782,,,0.5,False,False
1755016112,3,0.5,0,700.7813449839232,,,0.5,False,False
1755016113,3,0.5,2800.0,2641.30952603637,0.9433248307272749,safe,0.5,False,False
1755016114,3,0.5,220.0,175.35656168362448,0.7970752803801112,safe,0.5,False,True
1755016115,3,0.5,0,341.63045296017117,,,0.5,False,False
1755016116,3,0.5,152.5,143.42974046541622,0.9405228882978113,safe,0.5,False,False
1755016107,5,0,2844,2633.0,0.9258087201125176,safe,0.0,False,False
1755016108,5,0,436,426.0,0.9770642201834863,safe,0.0,False,False
1755016109,5,0,406,273.0,0.6724137931034483,safe,0.0,False,False
1755016110,5,0,808,805.0,0.9962871287128713,safe,0.0,False,False
1755016111,5,0,490.9,485.0,0.9879812589122021,safe,0.0,False,False
1755016112,5,0,490,461.0,0.9408163265306122,safe,0.0,False,False
1755016113,5,0,624,549.0,0.8798076923076923,safe,0.0,False,False
1755016114,5,0,328,260.0,0.7926829268292683,safe,0.0,False,False
1755016115,5,0,2214,2043.0,0.9227642276422764,safe,0.0,False,False
1755016116,5,0,2506,1545.0,0.6165203511572227,safe,0.0,False,False
1755016107,5,0.02,2872.44,2633.0130103341653,0.9166468265078349,safe,0.0,False,False
1755016108,5,0.02,440.36,433.60608160034235,0.984662734127401,safe,0.0,False,False
1755016109,5,0.02,410.05999999999995,365.82129560057126,0.8921165088049829,safe,0.0,False,False
1755016110,5,0.02,812.12,810.0651692449937,0.9974697941744985,safe,0.0,False,False
1755016111,5,0.02,488.1,485.38368696832913,0.9944349251553557,safe,0.0,False,False
1755016112,5,0.02,494.90000000000003,481.1748411698427,0.972266803737811,safe,0.0,False,False
