seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage
1755016117,3,0,212,125.0,0.589622641509434,safe,0.0
1755016118,3,0,260,247.0,0.95,safe,0.0
1755016119,3,0,2012,1593.0,0.7917495029821073,safe,0.0
1755016120,3,0,2014,2011.0,0.9985104270109235,safe,0.0
1755016121,3,0,400,363.0,0.9075,safe,0.0
1755016122,3,0,2022,1807.0,0.8936696340257171,safe,0.0
1755016123,3,0,250,222.0,0.888,safe,0.0
1755016124,3,0,9,9.0,1.0,safe,0.0
1755016125,3,0,222,170.0,0.7657657657657657,safe,0.0
1755016126,3,0,65,65.0,1.0,safe,0.0
1755016117,3,0.02,214.12,208.01037233579274,0.9714663382019089,safe,0.1
1755016118,3,0.02,262.6,247.34594106630652,0.9419114282799181,safe,0.1
1755016119,3,0.02,2032.12,1611.7496037496303,0.7931370213125358,safe,0.1
1755016120,3,0.02,2034.14,2030.9467157740546,0.9984301551388078,safe,0.1
1755016121,3,0.02,404.0,363.9146429590328,0.9007788192055267,safe,0.1
1755016122,3,0.02,2042.22,2023.1226093150226,0.9906487103813607,safe,0.1
1755016123,3,0.02,252.5,248.90661818449917,0.9857687848891056,safe,0.1
1755016124,3,0.02,0,11.035888229877003,,,0.1
1755016125,3,0.02,224.22000000000003,217.09416243976966,0.9682194382292821,safe,0.1
1755016126,3,0.02,65.39999999999999,65.359913008293,0.9993870490564681,safe,0.1
1755016117,3,0.05,217.3,213.03335098713995,0.9803651679113665,safe,0.1
1755016118,3,0.05,266.5,247.80247125774986,0.9298404174774854,safe,0.1
1755016119,3,0.05,2062.3,1634.1344919072628,0.7923844697217973,safe,0.1
1755016120,3,0.05,2064.3500000000004,2053.101610703219,0.9945511229700481,safe,0.1
1755016121,3,0.05,410.0,365.3002021994355,0.8909761029254524,safe,0.1
1755016122,3,0.05,2072.55,2025.7733591652463,0.9774303921088737,safe,0.1
1755016123,3,0.05,256.25,250.18327189426986,0.9763249634898337,safe,0.1
1755016124,3,0.05,0,11.090540651741293,,,0.1
