seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust
100,3,0,244.0,144.21241582771094,0.591034491097176,safe,0.0,False
101,3,0,2104.0,1667.5323302033676,0.7925533888799275,safe,0.0,False
102,3,0,108.0,83.67183052474176,0.7747391715253867,safe,0.0,False
103,3,0,2240.0,2173.5744025996432,0.9703457154462694,safe,0.0,False
104,3,0,2600.0,2343.272466538459,0.9012586409763303,safe,0.0,False
105,3,0,763.530158975196,763.530158975196,1.0,safe,0.0,
106,3,0,2202.0,1828.7357401090771,0.8304885286598898,safe,0.0,False
107,3,0,2110.0,1311.0436856321917,0.6213477183090956,safe,0.0,False
108,3,0,787.9444692938381,640.5953634404029,0.8129955706326735,safe,0.0,
109,3,0,78.62895017276583,77.76502960000913,0.9890126909890254,safe,0.0,
100,3,0.02,246.44,233.93976737715238,0.9492767707237152,safe,0.0,False
101,3,0.02,2125.04,2085.9756213746514,0.9816171090307247,safe,0.0,False
102,3,0.02,109.07999999999998,107.69877722272429,0.9873375249608022,safe,0.0,False
103,3,0.02,2262.3999999999996,2175.2294660027255,0.9614698841949814,safe,0.0,False
104,3,0.02,2626.0,2345.0163466797094,0.892999370403545,safe,0.0,False
105,3,0.02,767.5301589751958,767.341117262491,0.9997537012578669,safe,0.0,
106,3,0.02,2224.02,2147.677032301631,0.9656734347270397,safe,0.0,False
107,3,0.02,2131.1,2101.2911058674354,0.9860124376460211,safe,0.0,False
108,3,0.02,791.9844692938382,788.5448010526623,0.9956568993780359,safe,0.0,
109,3,0.02,79.12895017276583,78.13645882684199,0.9874572916264289,safe,0.0,
100,3,0.05,250.1,236.5384521057038,0.9457754982235259,safe,0.0,False
101,3,0.05,2156.6000000000004,2112.667846865261,0.9796289747126312,safe,0.0,False
102,3,0.05,110.7,107.69792602300177,0.9728809938843881,safe,0.0,False
103,3,0.05,2296.0,2177.650513182016,0.9484540562639442,safe,0.0,False
104,3,0.05,2665.0,2633.8573058623588,0.9883141860646749,safe,0.0,False
105,3,0.05,773.530158975196,773.1158456343001,0.9994643863124293,safe,0.0,
106,3,0.05,2257.05,2177.6313929190583,0.9648130936040664,safe,0.0,False
107,3,0.05,2162.75,2106.7370681554867,0.9741010602961445,safe,0.0,False
108,3,0.05,798.0444692938381,792.2202448977984,0.9927018798824664,safe,0.0,
109,3,0.05,79.87895017276583,78.75934820246016,0.9859837670890248,safe,0.0,
100,3,0.1,256.2,240.31106032907456,0.9379822807536088,safe,0.0,False
101,3,0.1,2209.2000000000003,2153.541446184994,0.9748060140254363,safe,0.0,False
102,3,0.1,113.4,111.83145823153092,0.9861680620064455,safe,0.0,False
103,3,0.1,2352.0,2278.6746462254087,0.9688242543475377,safe,0.0,False
104,3,0.1,2730.0,2647.59581538933,0.9698153169924285,safe,0.0,False
