num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,false_percentage,adjust
3,0,244.0,144.21241582771094,0.591034491097176,0.0,False
3,0,2104.0,1667.5323302033676,0.7925533888799275,0.0,False
3,0,108.0,83.67183052474176,0.7747391715253867,0.0,False
3,0,2240.0,2173.5744025996432,0.9703457154462694,0.0,False
3,0,2600.0,2343.272466538459,0.9012586409763303,0.0,False
3,0,763.530158975196,763.530158975196,1.0,0.0,False
3,0,2202.0,1828.7357401090771,0.8304885286598898,0.0,False
3,0,2110.0,1311.0436856321917,0.6213477183090956,0.0,False
3,0,787.9444692938381,640.5953634404029,0.8129955706326735,0.0,False
3,0,78.62895017276583,77.76502960000913,0.9890126909890254,0.0,False
3,0.02,246.44,233.93976737715238,0.9492767707237152,0.0,False
3,0.02,2125.04,2085.9756213746514,0.9816171090307247,0.0,False
3,0.02,109.07999999999998,107.69877722272429,0.9873375249608022,0.0,False
3,0.02,2262.3999999999996,2175.2294660027255,0.9614698841949814,0.0,False
3,0.02,2626.0,2345.0163466797094,0.892999370403545,0.0,False
3,0.02,767.5301589751958,767.341117262491,0.9997537012578669,0.0,False
3,0.02,2224.02,2147.677032301631,0.9656734347270397,0.0,False
3,0.02,2131.1,2101.2911058674354,0.9860124376460211,0.0,False
3,0.02,791.9844692938382,788.5448010526623,0.9956568993780359,0.0,False
3,0.02,79.12895017276583,78.13645882684199,0.9874572916264289,0.0,False
3,0.05,250.1,236.5384521057038,0.9457754982235259,0.0,False
3,0.05,2156.6000000000004,2112.667846865261,0.9796289747126312,0.0,False
3,0.05,110.7,107.69792602300177,0.9728809938843881,0.0,False
3,0.05,2296.0,2177.650513182016,0.9484540562639442,0.0,False
3,0.05,2665.0,2633.8573058623588,0.9883141860646749,0.0,False
3,0.05,773.530158975196,773.1158456343001,0.9994643863124293,0.0,False
3,0.05,2257.05,2177.6313929190583,0.9648130936040664,0.0,False
3,0.05,2162.75,2106.7370681554867,0.9741010602961445,0.0,False
3,0.05,798.0444692938381,792.2202448977984,0.9927018798824664,0.0,False
3,0.05,79.87895017276583,78.75934820246016,0.9859837670890248,0.0,False
3,0.1,256.2,240.31106032907456,0.9379822807536088,0.0,False
3,0.1,2209.2000000000003,2153.541446184994,0.9748060140254363,0.0,False
3,0.1,113.4,111.83145823153092,0.9861680620064455,0.0,False
3,0.1,2352.0,2278.6746462254087,0.9688242543475377,0.0,False
3,0.1,2730.0,2647.59581538933,0.9698153169924285,0.0,False
3,0.1,783.530158975196,781.8817118408697,0.997896128036115,0.0,False
3,0.1,2312.1000000000004,2220.3042860283313,0.9602976886935387,0.0,False
3,0.1,2215.5,2165.6773240154375,0.9775117689078933,0.0,False
3,0.1,764.2583259052215,820.27417829669,1.0732943960082095,0.0,True
3,0.1,81.12895017276583,79.68599274661801,0.9822140256582268,0.0,False
3,0.2,268.4,247.01034061224127,0.9203067832050719,0.0,False
3,0.2,2314.4,2205.5473548400996,0.9529672290183631,0.0,False
3,0.2,118.8,113.43231917994439,0.9548175015146834,0.0,False
3,0.2,2464.0,2380.015907052468,0.9659155466933717,0.0,False
3,0.2,2860.0,2654.5580878602923,0.9281671635875148,0.0,False
3,0.2,803.530158975196,802.2032759772846,0.9983486830169467,0.0,False
3,0.2,2422.2,2320.880786082973,0.9581705829753832,0.0,False
3,0.2,2321.0,2174.345462542897,0.9368140726165003,0.0,False
3,0.2,787.675488334039,833.602116123167,1.058306534187403,0.0,True
3,0.2,83.62895017276583,81.64705286349857,0.9763013011023942,0.0,False
3,0.3,280.6,257.5934596527633,0.9180094784489068,0.0,False
3,0.3,2419.6000000000004,2346.2157358930226,0.9696709108501497,0.0,False
